id,url,doi,status,note
022,https://link.springer.com/article/10.1007/BF02655412,10.1007/BF02655412,ok,from DOI (url)
023,https://www.sciencedirect.com/science/article/pii/002202488190244X,,failed,doi_not_found_or_ris_unavailable
024,https://www.sciencedirect.com/science/article/abs/pii/0022024881902438,,failed,doi_not_found_or_ris_unavailable
025,https://www.sciencedirect.com/science/article/abs/pii/0022024884902148,,failed,doi_not_found_or_ris_unavailable
026,https://www.sciencedirect.com/science/article/abs/pii/0022024886901260,,failed,doi_not_found_or_ris_unavailable
027,https://www.jim.org.cn/EN/10.15541/jim20220645,10.15541/jim20220645,ok,from DOI (url)
028,https://bdtq.cbpt.cnki.net/portal/journal/portal/client/paper/3c58fcd60d05e3663207b8a8f1cd68cf,10.13250/j.cnki.wndz.1989.02.009,failed,doi_not_found_or_ris_unavailable
029,https://link.springer.com/article/10.1007/BF03030197,10.1007/BF03030197,ok,from DOI (url)
030,https://www.sciencedirect.com/science/article/abs/pii/092151079190141H,,failed,doi_not_found_or_ris_unavailable
031,https://link.springer.com/article/10.1007/BF03030198,10.1007/BF03030198,ok,from DOI (url)
032,https://www.sciencedirect.com/science/article/abs/pii/0022024893902822,,failed,doi_not_found_or_ris_unavailable
033,https://www.sciencedirect.com/science/article/pii/002202489390012L,,failed,doi_not_found_or_ris_unavailable
034,https://kaken.nii.ac.jp/grant/KAKENHI-PROJECT-05640401/,,failed,doi_not_found_or_ris_unavailable
035,https://www.academia.edu/22661421/Growth_of_2_InP_and_GaAs_crystals_by_the_vertical_gradient_freeze_VGF_technique_and_characterization,,failed,doi_not_found_or_ris_unavailable
036,https://www.sciencedirect.com/science/article/pii/0022024895003398,,failed,doi_not_found_or_ris_unavailable
037,https://link.springer.com/article/10.1007/BF02666598,10.1007/BF02666598,ok,from DOI (url)
038,https://www.sciencedirect.com/science/article/abs/pii/0022024895003118,,failed,doi_not_found_or_ris_unavailable
039,https://pubs.aip.org/aip/jap/article-pdf/81/2/905/18689831/905_1_online.pdf,,failed,doi_not_found_or_ris_unavailable
040,https://ieeexplore.ieee.org/document/712394,,failed,doi_not_found_or_ris_unavailable
041,https://www.sciencedirect.com/science/article/abs/pii/S0022024899005382,,failed,doi_not_found_or_ris_unavailable
042,https://www.iisb.fraunhofer.de/content/dam/iisb2014/en/Documents/Research-Areas/Materials/Archiv_IISB_Publications_Mat_01.pdf,,failed,doi_not_found_or_ris_unavailable
043,https://www.sciencedirect.com/science/article/abs/pii/S0022024801011058,,failed,doi_not_found_or_ris_unavailable
044,https://ieeexplore.ieee.org/document/929200,,failed,doi_not_found_or_ris_unavailable
045,https://doi.org/10.1109/TSM.2003.815626,10.1109/TSM.2003.815626,ok,from DOI (url)
046,https://onlinelibrary.wiley.com/doi/abs/10.1002/crat.200310064,10.1002/crat.200310064,ok,from DOI (url)
047,https://cris.technion.ac.il/en/publications/prediction-of-the-meltcrystal-interface-geometry-in-liquid-encaps,10.1016/S0022-0248(02)02238-8,ok,from DOI (html)
048,https://ieeexplore.ieee.org/document/1219479,,failed,doi_not_found_or_ris_unavailable
049,https://www.researchgate.net/publication/4149558_Indium_phosphide_crystal_growth_from_phosphorus-rich_melt,,failed,doi_not_found_or_ris_unavailable
050,https://www.jos.ac.cn/fileBDTXB/oldPDF/2007z45.pdf,,failed,doi_not_found_or_ris_unavailable
051,https://pubs.rsc.org/zh-tw/content/articlelanding/2024/ce/d4ce00600c,10.1039/D4CE00600C,ok,from DOI (html)
052,https://pmc.ncbi.nlm.nih.gov/articles/PMC11307989/,,failed,doi_not_found_or_ris_unavailable
053,https://journal.kci.go.kr/jkcgct/archive/articleView?artiId=ART003152919,,failed,doi_not_found_or_ris_unavailable
054,https://www.sciencedirect.com/science/article/abs/pii/S1369800126002866,,failed,doi_not_found_or_ris_unavailable
055,https://ndltd.ncl.edu.tw/cgi-bin/gs32/gsweb.cgi/login?o=dnclcdr&s=id%3D%22074NTHU2159026%22.&searchmode=basic,,failed,doi_not_found_or_ris_unavailable
056,https://doi.org/10.1063/1.323099,10.1063/1.323099,ok,from DOI (url)
057,https://pubs.aip.org/aip/jap/article-pdf/49/2/822/18378559/822_1_online.pdf,,failed,doi_not_found_or_ris_unavailable
058,https://link.springer.com/article/10.1007/BF02655440,10.1007/BF02655440,ok,from DOI (url)
059,https://www.sciencedirect.com/science/article/pii/0022024879900721,,failed,doi_not_found_or_ris_unavailable
060,https://www.sciencedirect.com/science/article/pii/0022024881902451,,failed,doi_not_found_or_ris_unavailable
061,https://www.sciencedirect.com/journal/journal-of-crystal-growth/vol/52/part/P2,,failed,doi_not_found_or_ris_unavailable
062,https://www.sciencedirect.com/science/article/abs/pii/0022024881903468,,failed,doi_not_found_or_ris_unavailable
063,https://www.sciencedirect.com/science/article/abs/pii/0022024881902463,,failed,doi_not_found_or_ris_unavailable
064,https://www.sciencedirect.com/science/article/pii/0022024881902426,,failed,doi_not_found_or_ris_unavailable
065,https://www.sciencedirect.com/science/article/pii/0022024881903237,,failed,doi_not_found_or_ris_unavailable
066,https://www.sciencedirect.com/science/article/abs/pii/0022024882903931,,failed,doi_not_found_or_ris_unavailable
067,https://www.sciencedirect.com/science/article/abs/pii/0022024883902440,,failed,doi_not_found_or_ris_unavailable
068,https://www.sciencedirect.com/science/article/abs/pii/S0022459623006035,,failed,doi_not_found_or_ris_unavailable
069,https://www.sciencedirect.com/science/article/pii/0022024883902403,,failed,doi_not_found_or_ris_unavailable
070,https://www.sciencedirect.com/science/article/pii/0022024883902427,,failed,doi_not_found_or_ris_unavailable
071,https://www.sciencedirect.com/science/article/abs/pii/002202488490215X,,failed,doi_not_found_or_ris_unavailable
072,https://www.sciencedirect.com/science/article/pii/0022024884904706,,failed,doi_not_found_or_ris_unavailable
073,https://www.sciencedirect.com/science/article/pii/S0080878408625570,,failed,doi_not_found_or_ris_unavailable
074,https://www.sciencedirect.com/science/article/pii/S0080878408625570,,failed,doi_not_found_or_ris_unavailable
075,https://www.sciencedirect.com/science/article/abs/pii/0022024886904008,,failed,doi_not_found_or_ris_unavailable
076,https://www.sciencedirect.com/science/article/abs/pii/0022024886904501,,failed,doi_not_found_or_ris_unavailable
077,https://www.sciencedirect.com/science/article/abs/pii/002202488690268X,,failed,doi_not_found_or_ris_unavailable
078,https://www.sciencedirect.com/science/article/pii/0022024886900606,,failed,doi_not_found_or_ris_unavailable
079,https://www.sciencedirect.com/science/article/pii/0022024887903514,,failed,doi_not_found_or_ris_unavailable
080,https://www.sciencedirect.com/science/article/abs/pii/0022024887900029,,failed,doi_not_found_or_ris_unavailable
081,https://www.sciencedirect.com/science/article/pii/0022024888903521,,failed,doi_not_found_or_ris_unavailable
082,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/1144/0000/Growth-Of-Low-Dislocation-Density-InP-Single-Crystals-By-The/10.1117/12.961978.full,10.1117/12.961978.full,failed,doi_not_found_or_ris_unavailable
083,https://link.springer.com/article/10.1007/BF03030190,10.1007/BF03030190,ok,from DOI (url)
084,https://www.sciencedirect.com/science/article/pii/0921510794900175,,failed,doi_not_found_or_ris_unavailable
085,https://doi.org/10.1143/JJAP.38.969,10.1143/JJAP.38.969,ok,from DOI (url)
086,https://link.springer.com/article/10.1007/s10854-020-04537-7,10.1007/s10854-020-04537-7,ok,from DOI (url)
087,https://www.researchgate.net/publication/364045313_Rapid_In-situ_Phosphorus_Injection_Synthesis_of_Large_Quantity_InP_Polycrystalline,,failed,doi_not_found_or_ris_unavailable
088,https://link.springer.com/article/10.1007/s10854-023-11249-1,10.1007/s10854-023-11249-1,ok,from DOI (url)
089,https://www.sciencedirect.com/science/article/pii/S0022459623006035,,failed,doi_not_found_or_ris_unavailable
090,https://doi.org/10.1016/0022-0248(78)90058-1,10.1016/0022-0248(78)90058-1,ok,from DOI (url)
091,https://doi.org/10.1016/0022-0248(83)90243-9,10.1016/0022-0248(83)90243-9,ok,from DOI (url)
092,https://www.sciencedirect.com/science/article/abs/pii/0022024884902148,,failed,doi_not_found_or_ris_unavailable
093,https://www.sciencedirect.com/science/article/pii/S0080878408625557,,failed,doi_not_found_or_ris_unavailable
094,https://www.osti.gov/biblio/536170,,failed,doi_not_found_or_ris_unavailable
095,https://www.osti.gov/biblio/536173,,failed,doi_not_found_or_ris_unavailable
096,https://www.osti.gov/biblio/536173,,failed,doi_not_found_or_ris_unavailable
097,https://doi.org/10.1016/S1359-6454(99)00130-5,10.1016/S1359-6454(99)00130-5,ok,from DOI (url)
098,https://arxiv.org/abs/cond-mat/9912063,10.1103/PhysRevB.62.1828,ok,from DOI (html)
099,https://www.cambridge.org/core/journals/mrs-online-proceedings-library-archive/article/study-of-the-homogeneity-of-fedoped-semiinsulating-inp-wafers/0E63EC1FBA0E2F6DCBA10211975EF2E1,10.1557/PROC-484-625,ok,from DOI (html)
100,https://www.sciencedirect.com/science/article/abs/pii/S1369800120313950,,failed,doi_not_found_or_ris_unavailable
