record_id,source_db,source_record_id,title,authors,year,journal_or_venue,doi,url,abstract,keywords,doc_type,candidate_topic_fit,inclusion_status,exclusion_reason,raw_evidence,candidate_judgement,confidence,full_text_available,full_text_path,seed_flag,notes,created_at,updated_at,user_index,source_database,discovered_from,discovered_round,relevance_level,fulltext_needed,has_pdf,duplicate_flag,pdf_filename,growth_method_seed,heating_method_seed,thermal_field_material_seed,category_seed,team_seed,extra_seed_metadata
seed_inp_001,user_seed,001.ris,Growth of 4-Inch InP Single-Crystal Wafer Using the VGF-VB Technique,"Wei, Hua ; Yang, Bin ; Ye, Xiaoda ; Zhao, XingKai ; Qiu, Feng ; Hui, Feng",2025,ACS Omega,10.1021/acsomega.4c09376,https://pubs.acs.org/doi/10.1021/acsomega.4c09376,,,JOUR,uncertain,pending,,seed_import_csv,seed_unreviewed,uncertain,yes,001.pdf,yes,AI_Notes=growth; Unique_Key=DOI:10.1021/acsomega.4c09376,2026-05-20T10:20:33.684107+00:00,2026-05-20T10:20:33.684107+00:00,001,user_seed,user_seed,0,seed_unreviewed,no,yes,,001.pdf,,電阻,石綿,長晶+模擬,雲南,{}
seed_inp_002,user_seed,002.ris,The impact of cooling rate on the structure and properties of VGF-InP single crystals,"Zhu, Xuefeng ; Wei, Hua ; Huang, Guoyong ; Deng, Weiquan",2025,Journal of Crystal Growth,10.1016/j.jcrysgro.2024.127946,https://www.sciencedirect.com/science/article/abs/pii/S0022024824003841,,,JOUR,uncertain,pending,,seed_import_csv,seed_unreviewed,uncertain,yes,002.pdf,yes,AI_Notes=growth; Unique_Key=DOI:10.1016/j.jcrysgro.2024.127946,2026-05-20T10:20:33.684107+00:00,2026-05-20T10:20:33.684107+00:00,002,user_seed,user_seed,0,seed_unreviewed,no,yes,,002.pdf,,電阻,石綿,長晶,雲南,{}
seed_inp_003,user_seed,003.ris,Regulation of the Temperature Field and Evolution of the Melt Convection Field During InP Crystal Growth with the Vertical Gradient Freeze Method,"Wang, Pei ; Li, Xiang ; Wang, Bowen ; Suo, Kainan ; Liu, Juncheng",2023,Journal of Electronic Materials,10.1007/s11664-023-10668-4,https://link.springer.com/article/10.1007/s11664-023-10668-4,,InP ; crystal growth ; heat transfer ; vertical gradient freeze ; numerical simulation,JOUR,uncertain,pending,,seed_import_csv,seed_unreviewed,uncertain,yes,003.pdf,yes,AI_Notes=growth; Unique_Key=DOI:10.1007/s11664-023-10668-4,2026-05-20T10:20:33.684107+00:00,2026-05-20T10:20:33.684107+00:00,003,user_seed,user_seed,0,seed_unreviewed,no,yes,,003.pdf,,電阻,石綿,模擬,中電科 46 所,{}
seed_inp_004,user_seed,004.ris,Design and optimization of complex single heater for vertical gradient freeze (VGF) grower,"Dezfoli, Amir Reza Ansari",2023,Journal of Crystal Growth,10.1016/j.jcrysgro.2022.127051,https://www.sciencedirect.com/science/article/abs/pii/S0022024822005334,,,JOUR,uncertain,pending,,seed_import_csv,seed_unreviewed,uncertain,yes,004.pdf,yes,AI_Notes=growth; Unique_Key=DOI:10.1016/j.jcrysgro.2022.127051,2026-05-20T10:20:33.684107+00:00,2026-05-20T10:20:33.684107+00:00,004,user_seed,user_seed,0,seed_unreviewed,no,yes,,004.pdf,,電阻,,模擬,勤益科大,{}
seed_inp_005,user_seed,005.ris,Melt-conditioned vertical gradient freeze (MCVGF) to increase growth speed and process efficiency: a modelling approach,"Dezfoli, Amir Reza Ansari",2023,The International Journal of Advanced Manufacturing Technology,10.1007/s00170-023-12277-1,https://link.springer.com/article/10.1007/s00170-023-12277-1,,,JOUR,uncertain,pending,,seed_import_csv,seed_unreviewed,uncertain,yes,005.pdf,yes,AI_Notes=growth; Unique_Key=DOI:10.1007/s00170-023-12277-1,2026-05-20T10:20:33.684107+00:00,2026-05-20T10:20:33.684107+00:00,005,user_seed,user_seed,0,seed_unreviewed,no,yes,,005.pdf,,電阻,,模擬,勤益科大,{}
seed_inp_006,user_seed,006.ris,A study on solid–liquid interface shape optimization and dislocation suppression for 4.5-inch InP single crystal growth based on vertical gradient freezing technique,"Duan, Zhuochen ; Wei, Hua ; Wu, Dingzhang ; Lv, Junhong ; Liu, Tinglong ; Wu, Xueqiang ; Liu, Hanbao ; Lin, Feng ; Yang, Jie ; Qiu, Feng ; Pu, Shikun ; Hui, Feng ; Wang, Chong",2026,Journal of Crystal Growth,10.1016/j.jcrysgro.2025.128458,https://www.sciencedirect.com/science/article/abs/pii/S0022024825004129,,,JOUR,uncertain,pending,,seed_import_csv,seed_unreviewed,uncertain,yes,006.pdf,yes,AI_Notes=growth; Unique_Key=DOI:10.1016/j.jcrysgro.2025.128458,2026-05-20T10:20:33.684107+00:00,2026-05-20T10:20:33.684107+00:00,006,user_seed,user_seed,0,seed_unreviewed,no,yes,,006.pdf,,電阻,,長晶+模擬,雲南,{}
seed_inp_007,user_seed,007.ris,VGF–VB stage switched growth process for 4.5 inch InP single crystals with low dislocation density and high uniformity,"Zhu, Xuefeng ; Li, Binyu ; Wei, Hua ; Ma, Yu",2026,Materials Science in Semiconductor Processing,10.1016/j.mssp.2026.110690,https://www.sciencedirect.com/science/article/abs/pii/S1369800126002866,,,JOUR,uncertain,pending,,seed_import_csv,seed_unreviewed,uncertain,yes,007.pdf,yes,AI_Notes=growth; Unique_Key=DOI:10.1016/j.mssp.2026.110690,2026-05-20T10:20:33.684107+00:00,2026-05-20T10:20:33.684107+00:00,007,user_seed,user_seed,0,seed_unreviewed,no,yes,,007.pdf,,電阻,石綿,長晶,雲南,{}
seed_inp_008,user_seed,008.ris,Crystal growth and wafer processing of 6-inch Indium Phosphide substrate,"Morishita, T. ; Kounoike, K. ; Fujiwara, S.",2016,CS ManTech Conference,,https://sumitomoelectric.com/sites/default/files/2020-12/download_documents/2016.pdf,,,CONF,uncertain,pending,,seed_import_csv,seed_unreviewed,uncertain,yes,008.pdf,yes,"Place=Miami, Florida, USA; AI_Notes=growth; Unique_Key=TITLE_YEAR:crystal growth and wafer processing of 6 inch indium phosphide substrate_2016",2026-05-20T10:20:33.684107+00:00,2026-05-20T10:20:33.684107+00:00,008,user_seed,user_seed,0,seed_unreviewed,no,yes,,008.pdf,,電阻,,,Sumitomo,{}
seed_inp_009,user_seed,009.ris,"Growth and characterization of LEC, VCZ and VB InP single crystals","Kawase, T. ; Hosaka, N. ; Hashio, K. ; Hosokawa, Y.",2004,2004 International Conference on Indium Phosphide and Related Materials (IPRM),10.1109/ICIPRM.2004.1442794,https://ieeexplore.ieee.org/document/1442794,,,CONF,uncertain,pending,,seed_import_csv,seed_unreviewed,uncertain,yes,009.pdf,yes,AI_Notes=growth; Unique_Key=DOI:10.1109/iciprm.2004.1442794,2026-05-20T10:20:33.684107+00:00,2026-05-20T10:20:33.684107+00:00,009,user_seed,user_seed,0,seed_unreviewed,no,yes,,009.pdf,,疑似電阻,,,Sumitomo,{}
seed_inp_010,user_seed,010.ris,4-inch Fe-doped InP substrates manufactured using vertical boat technique,"Hashio, K. ; Hosaka, N. ; Fujiwara, S. ; Sakurada, T. ; Nakai, R. ; Hara, N. ; Matsui, J.",2003,2003 International Conference on Indium Phosphide and Related Materials (IPRM),10.1109/ICIPRM.2003.1205436,https://ieeexplore.ieee.org/document/1205436,,,CONF,uncertain,pending,,seed_import_csv,seed_unreviewed,uncertain,yes,010.pdf,yes,AI_Notes=growth; Unique_Key=DOI:10.1109/iciprm.2003.1205436,2026-05-20T10:20:33.684107+00:00,2026-05-20T10:20:33.684107+00:00,010,user_seed,user_seed,0,seed_unreviewed,no,yes,,010.pdf,,疑似電阻,,,Sumitomo,{}
seed_inp_011,user_seed,011.ris,"Vertical gradient freeze growth of large diameter, low defect density indium phosphide","Monberg, E. M. ; Gault, W. A. ; Simchock, F. ; Dominguez, F.",1987,Journal of Crystal Growth,10.1016/0022-0248(87)90004-2,https://www.sciencedirect.com/science/article/abs/pii/0022024887900042,,,JOUR,uncertain,pending,,seed_import_csv,seed_unreviewed,uncertain,yes,011.pdf,yes,AI_Notes=growth; Unique_Key=DOI:10.1016/0022-0248(87)90004-2,2026-05-20T10:20:33.684107+00:00,2026-05-20T10:20:33.684107+00:00,011,user_seed,user_seed,0,seed_unreviewed,no,yes,,011.pdf,,疑似電阻,,,AT&T／Bell Labs,{}
seed_inp_012,user_seed,012.ris,The dynamic gradient freeze growth of InP,"Monberg, E. M. ; Brown, H. ; Bonner, C. E.",1989,Journal of Crystal Growth,10.1016/0022-0248(89)90609-X,https://www.sciencedirect.com/science/article/abs/pii/002202488990609X,,,JOUR,uncertain,pending,,seed_import_csv,seed_unreviewed,uncertain,yes,012.pdf,yes,AI_Notes=growth; Unique_Key=DOI:10.1016/0022-0248(89)90609-x,2026-05-20T10:20:33.684107+00:00,2026-05-20T10:20:33.684107+00:00,012,user_seed,user_seed,0,seed_unreviewed,no,yes,,012.pdf,,電阻,,,AT&T／Bell Labs,{}
seed_inp_013,user_seed,013.ris,"Growth of 2"" InP and GaAs crystals by the vertical gradient freeze (VGF) technique and characterization","Amon, J. ; Zemke, D. ; Hoffmann, B. ; Muller, G.",1996,Journal of Crystal Growth,10.1016/0022-0248(96)00039-5,https://www.sciencedirect.com/science/article/pii/0022024896000395,,,JOUR,uncertain,pending,,seed_import_csv,seed_unreviewed,uncertain,yes,013.pdf,yes,AI_Notes=growth; Unique_Key=DOI:10.1016/0022-0248(96)00039-5,2026-05-20T10:20:33.684107+00:00,2026-05-20T10:20:33.684107+00:00,013,user_seed,user_seed,0,seed_unreviewed,no,yes,,013.pdf,,不確定,,,Erlangen、Freiberger、G. Muller、U. Sahr,{}
seed_inp_014,user_seed,014.ris,Growth and characterization of 2 in InP crystals by the vertical gradient freeze technique,"Zemke, D. ; Grant, I. R. ; Wittmann, G. ; Muller, G.",1994,Materials Science and Engineering: B,10.1016/0921-5107(94)90023-X,https://www.sciencedirect.com/science/article/pii/092151079490023X,,,JOUR,uncertain,pending,,seed_import_csv,seed_unreviewed,uncertain,no,014.pdf,yes,Paper_Index PDF_Link=尚未放入 PDF; AI_Notes=growth; Unique_Key=DOI:10.1016/0921-5107(94)90023-x,2026-05-20T10:20:33.684107+00:00,2026-05-20T10:20:33.684107+00:00,014,user_seed,user_seed,0,seed_unreviewed,yes,no,,014.pdf,,,,,,{}
seed_inp_015,user_seed,015.ris,"Growth and characterization of 2"" and 4"" low EPD InP substrate crystals by the Vertical Gradient Freeze (VGF)-method","Schwesig, P. ; Sahr, U. ; Friedrich, J. ; Muller, G. ; Kohler, A. ; Kretzer, U. ; Eichler, S. ; Muhe, A.",2005,2005 International Conference on Indium Phosphide and Related Materials,10.1109/ICIPRM.2005.1517510,https://ieeexplore.ieee.org/document/1517510,,,CONF,uncertain,pending,,seed_import_csv,seed_unreviewed,uncertain,yes,015.pdf,yes,AI_Notes=growth; Unique_Key=DOI:10.1109/iciprm.2005.1517510,2026-05-20T10:20:33.684107+00:00,2026-05-20T10:20:33.684107+00:00,015,user_seed,user_seed,0,seed_unreviewed,no,yes,,015.pdf,,電阻,,,Erlangen、Freiberger、G. Muller、U. Sahr,{}
seed_inp_016,user_seed,016.ris,"Photoluminescence topography of sulfur doped 2"" InP grown by the vertical gradient freeze technique","Sahr, U. ; Baeumler, M. ; Grant, I. R. ; Jantz, W. ; Muller, G.",2002,14th International Conference on Indium Phosphide and Related Materials (IPRM 2002),10.1109/ICIPRM.2002.1014453,https://ieeexplore.ieee.org/document/1014453,,,CONF,uncertain,pending,,seed_import_csv,seed_unreviewed,uncertain,yes,016.pdf,yes,AI_Notes=growth; Unique_Key=DOI:10.1109/iciprm.2002.1014453,2026-05-20T10:20:33.684107+00:00,2026-05-20T10:20:33.684107+00:00,016,user_seed,user_seed,0,seed_unreviewed,no,yes,,016.pdf,,電阻,,,Erlangen、Freiberger、G. Muller、U. Sahr,{}
seed_inp_017,user_seed,017.ris,"Growth of S-doped 2"" InP-crystals by the vertical gradient freeze technique","Sahr, U. ; Grant, I. R. ; Muller, G.",2001,2001 International Conference on Indium Phosphide and Related Materials (IPRM 2001),10.1109/ICIPRM.2001.929201,https://ieeexplore.ieee.org/document/929201,,,CONF,uncertain,pending,,seed_import_csv,seed_unreviewed,uncertain,yes,017.pdf,yes,AI_Notes=growth; Unique_Key=DOI:10.1109/iciprm.2001.929201,2026-05-20T10:20:33.684107+00:00,2026-05-20T10:20:33.684107+00:00,017,user_seed,user_seed,0,seed_unreviewed,no,yes,,017.pdf,,電阻,,,Erlangen、Freiberger、G. Muller、U. Sahr,{}
seed_inp_018,user_seed,018.ris,Recent Technologies in InP Bulk Crystals,"Oda, O. ; Fukui, T. ; Uchida, R. ; Kohiro, K. ; Kurita, H. ; Kainosho, K. ; Asahi, S. ; Suzuki, K.",2000,"InP and Related Compounds: Materials, Applications and Devices",10.1201/9781482282986-9,https://www.taylorfrancis.com/books/9780429080258/chapters/10.1201/9781482282986-9,,,CHAP,uncertain,pending,,seed_import_csv,seed_unreviewed,uncertain,yes,018.pdf,yes,AG=專書; AI_Notes=growth; Unique_Key=DOI:10.1201/9781482282986-9,2026-05-20T10:20:33.684107+00:00,2026-05-20T10:20:33.684107+00:00,018,user_seed,user_seed,0,seed_unreviewed,no,yes,,018.pdf,,,,專書,專書,{}
seed_inp_019,user_seed,019.ris,In-situ synthesis and growth of indium phosphide,"Hyder, SB ; Holloway, CJ",1983,Journal of Electronic Materials,,,,,JOUR,uncertain,pending,,seed_import_csv,seed_unreviewed,uncertain,yes,019.pdf,yes,ISSN=0361-5235; Unique_Key=TITLE_YEAR:in situ synthesis and growth of indium phosphide_1983,2026-05-20T10:20:33.684107+00:00,2026-05-20T10:20:33.684107+00:00,019,user_seed,user_seed,0,seed_unreviewed,no,yes,,019.pdf,,感應,,,Varian Associates,{}
seed_inp_020,user_seed,020.ris,Indium phosphide single crystal furnace cooling crystallization temperature control model research,"Huang, Guoyong ; Ma, Siyi ; Wei, Hua ; Wan, Hongping ; Chen, Daifeng",2024,ACS omega,,,,,JOUR,uncertain,pending,,seed_import_csv,seed_unreviewed,uncertain,yes,020.pdf,yes,ISSN=2470-1343; Unique_Key=TITLE_YEAR:indium phosphide single crystal furnace cooling crystallization temperature control model research_2024,2026-05-20T10:20:33.684107+00:00,2026-05-20T10:20:33.684107+00:00,020,user_seed,user_seed,0,seed_unreviewed,no,yes,,020.pdf,,電阻,,,雲南,{}
seed_inp_021,user_seed,021.ris,Thermal field of 6-inch indium phosphide single crystal growth by semi-sealed Czochralski method,"Shi, Yanlei ; Sun, Niefeng ; Xu, Chengyan ; Wang, Shujie ; Lin, Peng ; Ma, Chunlei ; Xu, Senfeng ; Wang, Wei ; Chen, Chunmei ; Fu, Lijie",2023,Journal of Inorganic Materials,,,,,JOUR,uncertain,pending,,seed_import_csv,seed_unreviewed,uncertain,yes,021.pdf,yes,ISSN=1000-324X; Unique_Key=TITLE_YEAR:thermal field of 6 inch indium phosphide single crystal growth by semi sealed czochralski method_2023,2026-05-20T10:20:33.684107+00:00,2026-05-20T10:20:33.684107+00:00,021,user_seed,user_seed,0,seed_unreviewed,no,yes,,021.pdf,Semi-sealed CZ / SSC,,,,中電科 13所,{}
